Kestrel Name,Route Number,Time,Temperature,Wet Bulb Temp,Globe Temperature,Relative Humidity,Barometric Pressure,Altitude,Station Pressure,Wind Speed,Heat Index,Dew Point,Density Altitude,Crosswind,Headwind,Compass Magnetic Direction,NWB Temp,Compass True Direction,Thermal Work Limit,Wet Bulb Globe Temperature,Wind Chill,Probability of Ignition,Vapor Pressure Deficit,Data Type,Record name,Start time,Duration (H:M:S),Location description,Location address,Location coordinates,Notes
,,,°F,°F,°F,%,inHg,ft,inHg,mph,°F,°F,ft,mph,mph,Deg,°F,Deg,w/m2,°F,°F,%,inHg,,,,,,,,
WBGT 1,33,2026-07-01 02:53:27 PM,92,81,111,64,30,-71,30,2,108,77,2398,,,,85,,133,91,92,,,session,"Session - Jul 1, 2026 2:53:27 PM",2026-07-01 02:53:27 PM 2:53:27 PM,00:07:35,,"M4X7+V5F, Southwest, St Croix 00840, USVI","https://www.google.com/maps/search/?api=1&query=17.6996784,-64.8870885",Enter Notes
HEAT - 3030480,23,2026-07-02 12:02:27 PM,88,76,92,59,30,14,30,5,96,72,2200,,,,76,,252,80,88,,,session,"Session - Jul 2, 2026 12:02:27 PM",2026-07-02 12:02:27 PM 12:02:27 PM,00:07:08,,"4030 W St John Rd, Saint John, St Croix 00820, USVI","https://www.google.com/maps/search/?api=1&query=17.7588546,-64.7518564",Enter Notes
HEAT - 3030480,23,2026-07-02 02:22:18 PM,88,76,92,57,30,37,30,5,95,71,2222,,,,75,,255,80,88,,,session,"Session - Jul 2, 2026 2:22:18 PM",2026-07-02 02:22:18 PM 2:22:18 PM,00:08:38,,,,Enter Notes
HEAT - 3030480,15,2026-07-06 12:41:27 PM,89,78,101,61,30,-174,30,5,99,74,2053,,,,80,,207,85,89,,,session,"Session - Jul 6, 2026 12:41:27 PM",2026-07-06 12:41:27 PM 12:41:27 PM,00:07:04,,,,
HEAT - 3030480,15,2026-07-06 01:56:07 PM,88,77,95,62,30,-162,30,5,97,73,1999,,,,78,,233,82,88,,,session,"Session - Jul 6, 2026 1:56:07 PM",2026-07-06 01:56:07 PM 1:56:07 PM,00:10:30,,,,Enter Notes
WBGT 1,18,2026-07-06 10:40:56 AM,90,78,107,61,30,-146,30,3,101,75,2149,,,,81,,178,87,90,,,session,"Session - Jul 6, 2026 10:40:56 AM",2026-07-06 10:40:56 AM 10:40:56 AM,00:07:06,,"St Croix, Frederiksted Southeast, St Croix 00840, USVI","https://www.google.com/maps/search/?api=1&query=17.6958276,-64.8631163",Enter Notes
WBGT 1,18,2026-07-06 03:43:37 PM,87,77,93,65,30,-105,30,7,96,73,1993,,,,77,,250,81,86,,,session,"Session - Jul 6, 2026 3:43:37 PM",2026-07-06 03:43:37 PM 3:43:37 PM,00:07:41,,"St Croix, Frederiksted Southeast, St Croix 00840, USVI","https://www.google.com/maps/search/?api=1&query=17.6958276,-64.8631163",Enter Notes
FIRE - 3126787,11,2026-07-08 11:39:03 AM,88,80,103,71,30,-163,30,3,101,77,2042,,,,83,,170,87,88,30,0.38,session,"Session - Jul 8, 2026 11:39:03 AM",2026-07-08 11:39:03 AM 11:39:03 AM,00:07:30,,,,Enter Notes
FIRE - 3126787,11,2026-07-08 02:57:41 PM,90,80,110,66,30,-124,30,3,105,77,2230,,,,84,,144,90,90,40,0.49,session,"Session - Jul 8, 2026 2:57:41 PM",2026-07-08 02:57:41 PM 2:57:41 PM,00:07:30,,,,Enter Notes
HEAT - 3030480,12,2026-07-08 11:52:27 AM,86,77,100,67,30,-143,30,8,96,74,1941,,,,80,,216,85,86,,,session,"Session - Jul 8, 2026 11:52:27 AM",2026-07-08 11:52:27 AM 11:52:27 AM,00:07:01,,"Q794+9JX, Rte 751, Christiansted, St Croix 00820, USVI","https://www.google.com/maps/search/?api=1&query=17.7684990,-64.7434041",Enter Notes
HEAT - 3030480,12,2026-07-08 02:44:04 PM,87,78,102,66,30,-110,30,7,98,75,2055,,,,81,,205,86,87,,,session,"Session - Jul 8, 2026 2:44:04 PM",2026-07-08 02:44:04 PM 2:44:04 PM,00:07:02,,"Q794+9JX, Rte 751, Christiansted, St Croix 00820, USVI","https://www.google.com/maps/search/?api=1&query=17.7684990,-64.7434041",Enter Notes
FIRE - 3126788,16,2026-07-16 11:34:01 AM,89,78,108,61,30,-85,30,10,99,74,2171,,,,82,,184,87,89,40,0.54,session,"Session - Jul 16, 2026 11:34:01 AM",2026-07-16 11:34:01 AM 11:34:01 AM,00:07:14,,"784 Estate, Frederiksted, St Croix 00840, USVI","https://www.google.com/maps/search/?api=1&query=17.7044398,-64.8390493",Enter Notes
FIRE - 3126788,16,2026-07-16 02:23:02 PM,88,78,103,64,30,-53,30,9,98,74,2137,,,,81,,205,86,88,40,0.48,session,"Session - Jul 16, 2026 2:23:02 PM",2026-07-16 02:23:02 PM 2:23:02 PM,00:07:00,,"P546+5VH, 7th Ave, Frederiksted, St Croix 00840, USVI","https://www.google.com/maps/search/?api=1&query=17.7054380,-64.8377607",Enter Notes
FIRE - 3126788,26,2026-07-20 12:19:19 PM,93,78,114,53,30,-89,30,3,104,73,2384,,,,83,,147,90,93,46,0.73,session,"Session - Jul 20, 2026 12:19:19 PM",2026-07-20 12:19:19 PM 12:19:19 PM,00:07:00,,"Frederiksted, St Croix 00840, USVI","https://www.google.com/maps/search/?api=1&query=17.7294173,-64.8877356",Enter Notes
FIRE - 3126788,26,2026-07-20 02:07:20 PM,93,79,119,54,30,-60,30,3,106,74,2461,,,,85,,113,92,93,44,0.72,session,"Session - Jul 20, 2026 2:07:20 PM",2026-07-20 02:07:20 PM 2:07:20 PM,00:07:00,,"Frederiksted, St Croix 00840, USVI","https://www.google.com/maps/search/?api=1&query=17.7294173,-64.8877356",Enter Notes
FIRE - 3126788,,2026-07-12 01:09:33 PM,90,79,110,62,30,-6,30,6,102,75,2317,,,,83,,166,89,89,40,0.53,session,"Session - Jul 12, 2026 1:09:33 PM",2026-07-12 01:09:33 PM 1:09:33 PM,00:15:19,,,,Enter Notes
